_id,isActive,Category,name,price,display,purchase,unitWeight,image
101,true,1001,"אנטריקוט מיושן אנגוס - לרוסטביף  3-4 ק""ג",125,kg,Units,3.5,ProdPic/default.jpg
102,true,1001,שיפודי אנטריקוט מיושן אנגוס ,125,kg,Units,1,ProdPic/default.jpg
103,true,1001,אנטריקוט - ארגנטינאי - דל סור,125,kg,Units,3.5,ProdPic/default.jpg
104,true,1001,"אנטריקוט מיושן אנגוס 3-4 ק""ג ",137,kg,Units,3.5,ProdPic/default.jpg
105,true,1001,סטייק אנטריקוט מיושן אנגוס כ -  300 גרם ,147,kg,Units,0.3,ProdPic/default.jpg
106,true,1001,"אנטריקוט מיושן אנגוס - פרימיום 3.5 - 4.5 ק""ג ",149,kg,Units,4,ProdPic/default.jpg
107,true,1001,"אנטריקוט פריים ריב - עם עצם 6-7 ק""ג ",98,kg,Units,6.5,ProdPic/default.jpg
108,true,1001,"סינטה  4-6 ק""ג ",112,kg,Units,5,ProdPic/default.jpg
109,true,1001,שיפודי פילה בקר,122,kg,Units,1,ProdPic/default.jpg
110,true,1001,"פילה בקר 1.1 -1.5 ק""ג ",150,kg,Units,1.5,ProdPic/default.jpg
111,true,1001,"אסאדו מיושן -  אנגוס פידלוט ללא עצם 3.5-4.5 ק""ג ",69,kg,Units,4,ProdPic/default.jpg
112,true,1001,"אסאדו שלם / פרוס - עם עצם 5-6 ק""ג ",59,kg,Units,5,ProdPic/default.jpg
113,true,1002,נקניקיות מרגז - חריפות,51,kg,Units,1,ProdPic/default.jpg
114,true,1002,נקניקיות צ'וריסוס - ארגנטינאיות,51,kg,Units,1,ProdPic/default.jpg
115,true,1002,נקניקיות עגל 80 גרם,57,kg,Units,0.08,ProdPic/default.jpg
116,true,1002,נקניקיות עוף לילדים ,24,kg,Units,0.08,ProdPic/default.jpg
117,true,1002,נקניקיות שטראסבורג עגל - 60 גר' יח',85,kg,Units,0.06,ProdPic/default.jpg
118,true,1002,נקניקיות פרנקפורטר בקר  ,85,kg,Units,0.08,ProdPic/default.jpg
119,true,1002,תולוז הודו מעושן - נקניקית ספירלה כ- 80 גר',85,kg,Units,0.08,ProdPic/default.jpg
120,true,1002,המבורגר מיני אנגוס - 80 גרם,46,kg,Units,0.08,ProdPic/default.jpg
121,true,1002,המבורגר ג'וניור אנגוס - 80 גרם,46,kg,Units,0.08,ProdPic/default.jpg
122,true,1002,המבורגר מקסי אנגוס - 220 גרם,46,kg,Units,0.22,ProdPic/default.jpg
