_id,isActive,category ,name,price,display,purchase,unitWeight,image
1001,true,1001,"אנטריקוט מיושן אנגוס - לרוסטביף  3-4 ק""ג",125,kg,Units,3.5,rostbifantricot
1002,true,1001,שיפודי אנטריקוט מיושן אנגוס ,125,kg,Units,1.1,shipodantricot
1003,true,1001,אנטריקוט - ארגנטינאי - דל סור,125,kg,Units,3,antricotargntinaidelsor
1004,true,1001,"אנטריקוט מיושן אנגוס 3-4 ק""ג ",137,kg,Units,3.5,antricotangus
1005,true,1001,סטייק אנטריקוט מיושן אנגוס כ -  300 גרם ,147,kg,Units,0.6,
1006,true,1001,"אנטריקוט מיושן אנגוס - פרימיום 3.5 - 4.5 ק""ג ",149,kg,Units,4,antricotangusfidlotprimium
1007,true,1001,"אנטריקוט פריים ריב - עם עצם 6-7 ק""ג ",98,kg,Units,6.5,primerib
1008,true,1001,סינטה אורגוואי,95,kg,Units,6,
1009,true,1001,"סינטה עגל 4-6 ק""ג ",112,kg,Units,5,sintaegel
1010,true,1001,"סינטה פרה שמנה פרימיום 5-6 ק""ג ",179,kg,Units,6,sintaprimum
1011,true,1001,שיפודי פילה בקר,122,kg,Units,,shipodfilebakar
1012,true,1001,"פילה בקר 1.1 -1.5 ק""ג ",150,kg,Units,1.3,filebakar
1013,true,1001,"אסאדו מיושן -  אנגוס פידלוט ללא עצם 3.5-4.5 ק""ג ",69,kg,Units,4,asadobliezem
1014,true,1001,"אסאדו שלם / פרוס - עם עצם 5-6 ק""ג ",59,kg,Units,5.5,asadoimezem
1015,true,1002,נקניקיות מרגז - חריפות,51,kg,Units,0.95,margez
1016,true,1002,נקניקיות צ'וריסוס - ארגנטינאיות,51,kg,Units,,choricoss
1017,true,1002,נקניקיות עגל 80 גרם,57,kg,Units,0.64,naknikiotegel
1018,true,1002,נקניקיות עוף לילדים ,24,kg,Units,,naknikiotoflilladim
1019,true,1002,נקניקיות שטראסבורג עגל - 60 גר' יח',85,kg,Units,0.24,naknikiotstrasburgegel
1020,true,1002,נקניקיות פרנקפורטר בקר  ,85,kg,Units,,nakniotfrankforterbakar
1021,true,1002,תולוז הודו מעושן - נקניקית ספירלה כ- 80 גר',85,kg,Units,,naknikiottuluz
1022,true,1002,כרוב כבוש 500 גרם,,kg,Units,,crovcavosh
1023,true,1002,המבורגר מיני אנגוס - 80 גרם,46,kg,Units,1.28,hamburger80gram
1024,true,1002,המבורגר ג'וניור אנגוס - 160 גרם,46,kg,Units,1.28,
1025,true,1002,המבורגר מקסי אנגוס - 220 גרם,46,kg,Units,1.1,hamburger220gram
1026,true,1002,הקבב של שישקו - 70 גר' ליח',46,kg,Units,1.26,akbabshelshisko 
1027,true,1002,קבב בטחינה -70 גר' ליח',46,kg,Units,1.4,kababthcina
1028,true,1002,קבב חצילים - 70 גר' ליח',49,kg,Units,1.26,kababhazi
1029,true,1002,קבב על מקל קינמון - 70 גר' ליח',54,kg,Units,1.82,kababalmakelkinamon
1030,true,1002,קבב טלה עם פיסטוק - 70 גר' ליח',59,kg,Units,1.26,kababfistok
1031,true,1002,קבב טלה עם צנובר - 70 גר' ליח',59,kg,Units,1.26,kababimznobar
1032,true,1003,"נתח בשר לצלי - לתנור כ- 1.8 ק""ג",48,kg,Units,1.8,zlicatef
1033,true,1003,"נתח בשר - לבישול קדרה כ- 3.5 ק""ג",42,kg,Units,3.5,basarlekdera
1034,true,1003,"נתח בשר - לגולש כ- 3.5 ק""ג",36,kg,Units,3.5,
1035,true,1003,"בשר בקר טחון - אנגוס - 1 ק""ג",44,kg,Units,1,basartacon
1036,true,1003,עצמות בקר - עם מח עצם - למרק ולחמין,32,kg,Units,,
1037,true,1003,מסרן - נקניק לחמין כ- 650 גר',57,kg,Units,0.65,
1038,true,1003,קשקע - לחמין כ- 500 גרם,44,kg,Units,0.5,
1039,true,1004,סטייק פרגית - כ- 130 גר' ליח',61.9,kg,Units,1.3,
1040,true,1004,סטייק פרגית - במרינדה שום ודבש,61.9,kg,Units,,stakepargitbsomvedvash
1041,true,1004,סטייק פרגית - במרינדה ים תיכונית,61.9,kg,Units,,stakepargityamticoni
1042,true,1004,שיפודי פרגית,69.9,kg,Units,,
1043,true,1004,שיפודי פרגית - במרינדה שום ודבש,69.9,kg,Units,,shipodpargitsomvedvas
1044,true,1004,שיפודי פרגית - במרינדה  ים תיכונית,69.9,kg,Units,,
1045,true,1004,שיפודי לבבות עוף ,69.9,kg,Units,,shipodlevavotof
1046,true,1004,שיפודי חזה עוף ,69.9,kg,Units,,shipodhazeof
1047,true,1004,חזה עוף - חצוי כ- 250 גר' ,34.9,kg,Units,1.5,hazeofhazshoy1
1048,true,1004,חזה עוף - פרוס לשניצל,36.9,kg,Units,,hazeofparoslesnitel
1049,true,1004,חזה עוף פרוס - במרינדה שום ודבש - לגריל,42.9,kg,Units,,
1050,true,1004,חזה עוף שלם,42.9,kg,Units,,hazeofsalem
1051,true,1004,כרעיים עוף - שלמים /מחולקים ,29.9,kg,Units,,
1052,true,1004,כנפיים עוף חתוכות מקוצבות ,19,kg,Units,,knafimof
1053,true,1004,כנפיים עוף חתוכות מקוצבות - במרינדה שום ודבש,21.9,kg,Units,,knafimofbmarinada
1054,true,1004,כנפיים עוף חתוכות מקוצבות - במרינדה שום ודבש,,kg,Units,,
1055,true,1004,צלעות כבש,135,kg,Units,,zlaotcheves
